"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","06/08/04","Werder Bremen","Schalke 04",1,0,"H",0,0,"D",0,9,8,0,0,0,0,5,2,22,19,0,0,0,1,0,0
"D1","07/08/04","Dortmund","Wolfsburg",1,2,"A",1,1,"D",0,24,9,0,0,0,0,7,3,9,20,0,0,0,3,0,0
"D1","07/08/04","Freiburg","Hansa Rostock",0,0,"D",0,0,"D",0,13,7,0,0,0,0,5,5,16,24,0,0,1,2,0,0
"D1","07/08/04","Hamburg","Bayern Munich",0,2,"A",0,1,"A",0,13,12,0,0,0,0,5,3,18,24,0,0,3,1,0,0
"D1","07/08/04","Hertha","Bochum",2,2,"D",2,0,"H",0,21,12,0,0,0,0,2,1,18,14,0,0,1,2,0,0
"D1","07/08/04","Kaiserslautern","Nurnberg",1,3,"A",0,1,"A",0,14,24,0,0,0,0,10,8,24,21,0,0,3,2,0,0
"D1","07/08/04","Leverkusen","Hannover",2,1,"H",0,1,"A",0,11,14,0,0,0,0,2,2,21,20,0,0,2,3,0,0
"D1","08/08/04","Bielefeld","M'gladbach",0,0,"D",0,0,"D",0,14,6,0,0,0,0,8,3,15,17,0,0,0,2,0,1
"D1","08/08/04","Stuttgart","Mainz",4,2,"H",2,0,"H",0,11,7,0,0,0,0,3,4,17,13,0,0,1,2,0,0
"D1","14/08/04","Bayern Munich","Hertha",1,1,"D",0,1,"A",0,19,9,0,0,0,0,6,2,16,27,0,0,4,5,1,0
"D1","14/08/04","Hansa Rostock","Werder Bremen",0,4,"A",0,0,"D",0,11,14,0,0,0,0,6,4,18,23,0,0,1,2,0,0
"D1","14/08/04","Mainz","Hamburg",2,1,"H",0,1,"A",0,14,8,0,0,0,0,1,9,16,30,0,0,1,3,0,0
"D1","14/08/04","M'gladbach","Dortmund",2,3,"A",2,3,"A",0,18,12,0,0,0,0,5,4,17,24,0,0,4,1,0,0
"D1","14/08/04","Nurnberg","Stuttgart",1,1,"D",1,1,"D",0,16,5,0,0,0,0,2,3,19,16,0,0,2,4,0,1
"D1","14/08/04","Schalke 04","Kaiserslautern",2,1,"H",1,1,"D",0,21,5,0,0,0,0,11,2,10,16,0,0,1,2,0,1
"D1","15/08/04","Bochum","Leverkusen",2,2,"D",1,0,"H",0,13,18,0,0,0,0,7,5,25,27,0,0,3,1,0,0
"D1","15/08/04","Wolfsburg","Freiburg",0,1,"A",0,0,"D",0,14,7,0,0,0,0,10,2,25,13,0,0,1,1,0,0
"D1","28/08/04","Bielefeld","Bochum",1,2,"A",0,1,"A",0,21,8,0,0,0,0,13,2,18,22,0,0,1,4,0,1
"D1","28/08/04","Freiburg","M'gladbach",1,1,"D",1,0,"H",0,10,13,0,0,0,0,3,3,15,11,0,0,0,3,0,0
"D1","28/08/04","Hamburg","Nurnberg",4,3,"H",2,1,"H",0,14,15,0,0,0,0,6,5,20,22,0,0,1,3,0,0
"D1","28/08/04","Hertha","Mainz",1,1,"D",0,0,"D",0,13,8,0,0,0,0,3,4,20,24,0,0,1,1,0,0
"D1","28/08/04","Kaiserslautern","Stuttgart",2,3,"A",2,1,"H",0,10,18,0,0,0,0,2,5,26,13,0,0,3,0,0,0
"D1","28/08/04","Leverkusen","Bayern Munich",4,1,"H",1,0,"H",0,17,16,0,0,0,0,7,3,15,21,0,0,2,1,0,0
"D1","28/08/04","Schalke 04","Hansa Rostock",0,2,"A",0,1,"A",0,19,9,0,0,0,0,6,4,18,19,0,0,2,2,1,0
"D1","29/08/04","Dortmund","Hannover",1,1,"D",1,0,"H",0,11,11,0,0,0,0,0,7,11,16,0,0,3,1,0,0
"D1","29/08/04","Werder Bremen","Wolfsburg",1,2,"A",0,0,"D",0,26,7,0,0,0,0,7,0,21,23,0,0,2,1,0,0
"D1","11/09/04","Bayern Munich","Bielefeld",1,0,"H",1,0,"H",0,14,5,0,0,0,0,3,3,15,19,0,0,1,1,0,0
"D1","11/09/04","Bochum","Dortmund",2,2,"D",1,0,"H",0,11,15,0,0,0,0,3,7,18,24,0,0,1,4,0,0
"D1","11/09/04","Mainz","Leverkusen",2,0,"H",0,0,"D",0,11,6,0,0,0,0,2,4,10,18,0,0,0,1,0,0
"D1","11/09/04","M'gladbach","Werder Bremen",3,1,"H",1,0,"H",0,13,16,0,0,0,0,3,5,24,18,0,0,3,2,0,0
"D1","11/09/04","Nurnberg","Hertha",0,0,"D",0,0,"D",0,21,12,0,0,0,0,7,5,25,14,0,0,0,2,0,0
"D1","11/09/04","Stuttgart","Hamburg",2,0,"H",1,0,"H",0,11,14,0,0,0,0,4,5,20,20,0,0,1,3,0,0
"D1","11/09/04","Wolfsburg","Schalke 04",3,0,"H",2,0,"H",0,20,18,0,0,0,0,6,4,20,20,0,0,3,5,0,0
"D1","12/09/04","Hannover","Freiburg",2,2,"D",2,0,"H",0,8,13,0,0,0,0,5,7,22,14,0,0,1,1,0,0
