"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR"
"D1","28/07/01","Cottbus","Hamburg",1,0,"H",0,0,"D",17781,11,6,2,1,0,0,6,3,24,23,0,1,2,2,0,0
"D1","28/07/01","Dortmund","Nurnberg",2,0,"H",1,0,"H",68000,16,4,10,1,0,0,5,4,15,17,10,1,2,2,0,0
"D1","28/07/01","Freiburg","Werder Bremen",3,0,"H",0,0,"D",25000,11,13,5,3,0,0,9,5,11,12,2,2,1,4,0,1
"D1","28/07/01","Leverkusen","Wolfsburg",2,1,"H",1,0,"H",22500,13,4,7,2,1,0,11,0,6,15,3,1,2,1,0,0
"D1","28/07/01","M'gladbach","Bayern Munich",1,0,"H",1,0,"H",34500,15,10,4,3,0,0,5,7,19,25,5,1,0,4,0,0
"D1","28/07/01","Munich 1860","Kaiserslautern",0,4,"A",0,0,"D",24000,8,7,2,5,1,0,7,4,17,20,1,0,2,3,0,0
"D1","28/07/01","Stuttgart","FC Koln",0,0,"D",0,0,"D",30000,16,9,6,2,2,1,4,0,19,22,1,3,1,1,0,0
"D1","29/07/01","St Pauli","Hertha",0,0,"D",0,0,"D",20515,9,12,4,4,0,1,1,1,20,24,2,3,1,2,0,0
"D1","04/08/01","Bayern Munich","Schalke 04",3,0,"H",3,0,"H",63000,15,6,9,3,1,0,4,6,13,17,3,1,2,4,0,0
"D1","04/08/01","FC Koln","Munich 1860",2,0,"H",0,0,"D",32000,12,4,7,2,1,1,5,3,10,8,1,1,1,1,0,0
"D1","04/08/01","Hamburg","Stuttgart",2,0,"H",1,0,"H",39036,17,13,6,4,1,0,5,4,21,17,2,4,1,0,0,0
"D1","04/08/01","Hansa Rostock","Leverkusen",0,3,"A",0,1,"A",25000,14,9,5,3,0,1,5,7,12,14,2,3,3,4,0,0
"D1","04/08/01","Hertha","Dortmund",0,2,"A",0,0,"D",55000,16,11,3,7,1,0,10,4,14,20,0,3,2,1,0,0
"D1","04/08/01","Werder Bremen","Cottbus",3,2,"H",1,2,"A",25000,23,10,5,3,0,0,9,3,9,21,4,4,2,5,0,0
"D1","04/08/01","Wolfsburg","St Pauli",1,1,"D",0,1,"A",11000,31,12,18,6,0,1,13,1,18,15,3,1,2,2,0,0
"D1","05/08/01","Kaiserslautern","M'gladbach",3,2,"H",0,0,"D",41582,18,8,8,4,0,1,7,0,16,18,1,4,1,2,0,0
"D1","05/08/01","Nurnberg","Freiburg",2,0,"H",1,0,"H",33000,21,5,7,3,1,0,9,5,20,25,2,3,1,2,0,0
"D1","11/08/01","Cottbus","Nurnberg",1,0,"H",1,0,"H",15702,7,10,2,4,1,1,4,7,25,17,2,4,3,3,0,0
"D1","11/08/01","Dortmund","Wolfsburg",4,0,"H",3,0,"H",66000,12,7,3,5,0,0,6,1,10,19,2,1,1,1,0,0
"D1","11/08/01","Freiburg","Hertha",1,3,"A",0,2,"A",22000,18,14,4,10,1,0,3,1,13,24,1,0,1,3,0,1
"D1","11/08/01","Kaiserslautern","FC Koln",2,1,"H",2,0,"H",41000,18,9,6,4,1,0,8,3,23,18,2,3,1,3,0,0
"D1","11/08/01","Leverkusen","Bayern Munich",1,1,"D",0,0,"D",22500,10,6,5,3,1,1,6,2,28,27,13,2,3,5,0,0
"D1","11/08/01","Munich 1860","Hamburg",1,1,"D",0,1,"A",22000,15,13,5,6,0,0,5,10,20,19,2,2,0,1,0,0
"D1","11/08/01","Stuttgart","Werder Bremen",0,0,"D",0,0,"D",17500,10,10,5,4,0,1,5,5,20,15,1,5,1,2,0,0
"D1","12/08/01","M'gladbach","Schalke 04",0,0,"D",0,0,"D",34500,21,6,5,2,1,0,9,5,17,19,1,0,2,1,0,0
"D1","12/08/01","St Pauli","Hansa Rostock",0,1,"A",0,1,"A",19000,17,13,5,6,3,0,6,6,24,24,0,1,3,3,0,0
"D1","18/08/01","Bayern Munich","St Pauli",2,0,"H",2,0,"H",50000,18,6,9,4,1,0,8,8,12,21,5,1,1,2,0,0
"D1","18/08/01","Hamburg","Kaiserslautern",2,3,"A",0,3,"A",42000,21,10,9,5,0,0,2,2,16,16,5,0,2,1,0,0
"D1","18/08/01","Hansa Rostock","Dortmund",0,2,"A",0,2,"A",25000,6,11,3,7,0,0,4,6,14,18,0,2,2,2,0,0
"D1","18/08/01","Nurnberg","Stuttgart",2,4,"A",1,1,"D",40000,9,15,3,10,1,0,6,4,19,17,4,4,4,2,0,0
"D1","18/08/01","Schalke 04","Leverkusen",3,3,"D",2,0,"H",60000,9,11,6,7,1,1,8,7,15,30,2,2,3,2,0,0
"D1","18/08/01","Werder Bremen","Munich 1860",1,3,"A",1,2,"A",28000,15,11,5,8,1,1,11,1,20,16,1,1,5,2,0,1
"D1","18/08/01","Wolfsburg","Freiburg",1,1,"D",0,1,"A",16000,17,10,10,4,0,1,5,4,29,25,2,3,3,0,0,0
"D1","19/08/01","FC Koln","M'gladbach",0,2,"A",0,0,"D",42000,12,13,4,5,0,0,4,6,22,34,4,4,2,4,0,0
"D1","19/08/01","Hertha","Cottbus",2,3,"A",1,0,"H",40000,15,11,5,3,1,1,5,5,10,23,3,1,1,3,0,0
"D1","21/08/01","Schalke 04","Hansa Rostock",3,1,"H",1,1,"D",60204,16,9,6,4,3,1,4,4,12,18,2,0,2,4,1,1
"D1","08/09/01","Cottbus","Wolfsburg",3,3,"D",2,2,"D",14000,11,8,3,2,3,0,7,10,13,14,0,4,2,3,0,0
"D1","08/09/01","Dortmund","Bayern Munich",0,2,"A",0,1,"A",68900,12,5,4,4,0,0,5,4,25,22,3,3,1,2,0,0
"D1","08/09/01","Freiburg","Hansa Rostock",1,1,"D",0,0,"D",25000,18,13,10,5,2,0,5,3,8,16,5,6,1,1,0,0
