"","x"
"1","Div"
"2","Date"
"3","HomeTeam"
"4","AwayTeam"
"5","FTHG"
"6","FTAG"
"7","FTR"
"8","HTHG"
"9","HTAG"
"10","HTR"
"11","HS"
"12","AS"
"13","HST"
"14","AST"
"15","HF"
"16","AF"
"17","HC"
"18","AC"
"19","HY"
"20","AY"
"21","HR"
"22","AR"
"23","B365H"
"24","B365D"
"25","B365A"
"26","BWH"
"27","BWD"
"28","BWA"
"29","GBH"
"30","GBD"
"31","GBA"
"32","IWH"
"33","IWD"
"34","IWA"
"35","LBH"
"36","LBD"
"37","LBA"
"38","SBH"
"39","SBD"
"40","SBA"
"41","WHH"
"42","WHD"
"43","WHA"
"44","SJH"
"45","SJD"
"46","SJA"
"47","VCH"
"48","VCD"
"49","VCA"
"50","BSH"
"51","BSD"
"52","BSA"
"53","Bb1X2"
"54","BbMxH"
"55","BbAvH"
"56","BbMxD"
"57","BbAvD"
"58","BbMxA"
"59","BbAvA"
"60","BbOU"
"61","BbMx.2.5"
"62","BbAv.2.5"
"63","BbMx.2.5.1"
"64","BbAv.2.5.1"
"65","BbAH"
"66","BbAHh"
"67","BbMxAHH"
"68","BbAvAHH"
"69","BbMxAHA"
"70","BbAvAHA"
